상품이름,할인전가격,할인후가격,할인율,"상품용량
(숫자만)","상품설명
(chatGPT 이용)","카테고리1
(강아지/고양이/공용)
(D/C/Z)","카테고리2
(사료/간식/용품)
(1/2/3)","카테고리3
(주니어/어덜트/시니어/공용)
(j/a/s/z)(임의로 넣기)",auto increment,상품코드,긴 상품 설명,
반려견패드(대)60*70cm*45매,8480,8480,0,45,"큰 크기로 흡수력이 뛰어나며, 냄새와 액체를 효과적으로 관리합니다.",D,3,z,001,D3z001,"""반려견패드(대) 60x70cm 45매""는 대형 반려견을 위한 프리미엄 패드입니다. 넉넉한 사이즈로 실내에서 편리하게 사용할 수 있으며, 강력한 흡수력으로 소변과 냄새를 효과적으로 잡아줍니다. 고품질의 흡수층은 패드의 변형 없이 오랜 시간 사용 가능하며, 바닥에 안정적으로 붙어 미끄러짐을 방지합니다. 통기성이 좋은 상단 층은 반려견의 발을 쾌적하게 유지하며, 패드는 사용 후 쉽게 폐기할 수 있어 청소가 간편합니다. 비 오는 날이나 외출 시, 또는 훈련용으로 이상적인 선택입니다.",
반려견패드(중)40*50cm*100매,8480,8480,0,100,중간 크기로 실내 위생 관리에 최적화되어 있습니다.,D,3,z,002,D3z002,"""반려견패드(중) 40x50cm 100매""는 중형 반려견에게 적합한 고성능 패드입니다. 컴팩트한 사이즈와 대량 포장으로 가성비를 극대화했습니다. 우수한 흡수력과 고속 건조 기능을 갖춘 이 패드는 소변을 빠르게 흡수하여 위생적인 환경을 유지합니다. 표면의 부드러운 원단은 반려견의 발에 자극을 주지 않으며, 방수 처리된 바닥은 바닥에 흡착하여 패드가 제자리에 고정됩니다. 패드는 일회용으로 사용 후 간편하게 폐기할 수 있어 관리가 쉽습니다.",
건강한간식 순살듬뿍 안심오리 300g,13500,10800,0.2,300,"고단백, 저지방으로 건강에 좋은 오리 순살을 사용한 간식입니다.",D,2,z,003,D2z003,"""건강한 간식 순살 듬뿍 안심 오리 300g""는 반려견의 건강을 고려하여 엄선된 순살 오리로 만든 고급 간식입니다. 100% 순수 오리 고기만을 사용하여 풍부한 단백질과 필수 영양소를 제공합니다. 인공 첨가물 없이 자연 그대로의 맛과 영양을 담아 반려견의 미각을 만족시킵니다. 간식은 소화가 잘 되어 위장에 부담을 주지 않으며, 간편한 포장으로 신선하게 보관할 수 있습니다. 건강한 간식으로 사랑하는 반려견의 하루를 더욱 특별하게 만들어주세요.",
순살듬뿍 치킨말이스틱 30P (300g),11000,8800,0.2,300,"치킨을 메인으로 한 맛있는 스틱 형태의 간식으로, 씹는 재미가 더해져 있습니다.",D,2,z,004,D2z004,"""순살 듬뿍 치킨 말이 스틱 30P (300g)""은 반려견을 위한 고단백 간식입니다. 신선한 순살 치킨을 사용하여 맛과 영양이 풍부하며, 고기 본연의 맛을 그대로 느낄 수 있습니다. 씹는 재미와 함께 건강한 단백질을 공급하여 반려견의 근육과 피부 건강을 지원합니다. 각 스틱은 간편하게 휴대 가능하며, 간식으로 제공하거나 훈련 보상용으로 적합합니다. 화학 첨가물이나 인공 색소를 사용하지 않아 안전하게 반려견에게 제공할 수 있습니다.",입력 필요
순살듬뿍 오리말이스틱 30P (300g),11000,8800,0.2,300,"오리를 사용한 건강한 간식으로, 소화가 잘 되며 맛도 좋습니다.",D,2,z,005,D2z005,"""순살 듬뿍 오리 말이 스틱 30P (300g)""은 반려견을 위한 특별한 간식입니다. 신선한 순살 오리를 사용하여 만들어진 이 스틱은 높은 단백질 함량과 우수한 영양가를 자랑합니다. 오리 고기의 자연스러운 풍미와 영양을 그대로 담아, 반려견이 맛있게 즐길 수 있습니다. 씹는 질감이 좋으며, 간편한 포장으로 신선하게 보관할 수 있습니다. 인공 첨가물이나 방부제를 사용하지 않아 안전하고 건강하게 반려견에게 제공할 수 있습니다.",확인 필요
반려견패드(대) 60X70cm*45매,8480,8480,0,45,크기가 크고 흡수력이 우수하여 실내를 청결하게 유지할 수 있습니다.,D,3,z,006,D3z006,"""반려견패드(대) 60x70cm 45매""는 대형 반려견을 위한 고성능 패드입니다. 넉넉한 크기로 실내에서의 사용이 용이하며, 강력한 흡수력으로 소변과 냄새를 빠르게 흡수하여 깨끗한 환경을 유지합니다. 고급 흡수층은 변형 없이 오랜 시간 사용 가능하며, 패드는 바닥에 안정적으로 부착되어 미끄러짐을 방지합니다. 통기성이 뛰어난 상단 층은 반려견의 발을 편안하게 유지하며, 패드는 사용 후 간편하게 폐기할 수 있어 청소가 간편합니다. 훈련용, 비 오는 날 또는 외출 시 유용한 제품입니다.",내버려두기
반려견패드(중)40*50cm*100매,8480,8480,0,100,중간 크기로 다양한 장소에 사용하기 좋습니다.,D,3,z,007,D3z007,"""반려견패드(중) 40x50cm 100매""는 중형 반려견을 위한 효율적인 패드입니다. 대량 포장으로 경제성을 높였으며, 우수한 흡수력과 고속 건조 기능을 갖춘 이 패드는 소변을 빠르게 흡수하여 위생적인 환경을 제공합니다. 부드러운 표면 원단은 반려견의 발에 자극을 주지 않으며, 방수 처리된 바닥은 안정적으로 부착되어 패드가 제자리에 고정됩니다. 일회용 패드로 사용 후 간편하게 폐기할 수 있어 관리가 용이합니다. 다양한 용도로 활용 가능한 실용적인 제품입니다.",
순살듬뿍 안심치킨 300g,13500,10800,0.2,300,고단백 저지방으로 건강에 좋은 치킨 맛 간식입니다.,D,2,z,008,D2z008,"""순살 듬뿍 안심 치킨 300g""은 반려견을 위한 고단백 간식입니다. 신선한 순살 치킨을 사용하여 풍부한 단백질과 영양을 제공합니다. 이 간식은 반려견의 근육과 피부 건강을 지원하며, 맛있게 즐길 수 있는 건강한 선택입니다. 자연 그대로의 치킨 맛과 향을 유지하며, 인공 첨가물 없이 안전하게 제조되었습니다. 간편하게 휴대할 수 있는 포장으로, 훈련 보상용이나 간식으로 이상적입니다.",
건강한간식 순살듬뿍 고구마 오리말이 300g,11000,8800,0.2,300,오리와 고구마를 조화롭게 블렌딩하여 맛과 영양을 더했습니다.,D,2,z,009,D2z009,"""건강한 간식 순살 듬뿍 고구마 오리말이 300g""은 반려견을 위한 영양 만점 간식입니다. 순살 오리와 고구마를 사용하여 만든 이 간식은 풍부한 단백질과 식이섬유를 제공하며, 맛과 건강을 동시에 고려했습니다. 고구마는 소화가 잘 되고 비타민이 풍부하여 반려견의 소화와 피부 건강에 도움을 줍니다. 인공 첨가물 없이 자연 재료만을 사용하여, 건강하고 맛있는 간식으로 반려견의 입맛을 사로잡을 수 있습니다.",
몰리스 쉬야응가 1회용 패드 M 100매,13900,13900,0,100,간편하게 사용할 수 있는 강아지 화장실 패드입니다.,D,3,z,010,D3z010,"""몰리스 쉬야응가 1회용 패드 M 100매""는 중형 반려견을 위한 고급 패드입니다. 흡수력이 뛰어난 패드는 소변과 냄새를 효과적으로 잡아주며, 위생적인 환경을 유지하는 데 도움을 줍니다. 패드는 사용 후 간편하게 폐기할 수 있으며, 바닥에 잘 붙어 미끄러짐을 방지합니다. 고급 흡수층과 통기성 원단으로 반려견의 발을 편안하게 유지하며, 훈련용, 비 오는 날 또는 외출 시 유용하게 사용할 수 있습니다.",
