product_id,category_id,discount_id,product_name,product_price,product_description,unit,value,product_code,created_date,product_detailed_description,product_additional_info
1,36,1,몰리스 애견 패드판 (49*40.5*4cm),9600,"강아지 배변 훈련에 최적화된 패드판으로, 안정적인 사용과 청소가 용이합니다.",X,1,Z3z001,2024.7.10,"반려견의 배변 훈련을 돕기 위해 설계된 패드판입니다. 견고한 소재로 제작되어 내구성이 뛰어나며, 패드가 흔들리지 않아 안정적으로 사용할 수 있습니다. 적당한 크기와 높이로 배변 패드를 안정적으로 고정시켜 청결한 환경을 유지할 수 있습니다. 반려견의 배변 습관을 교정하는 데 효과적이며, 편리한 사용으로 보호자에게도 유용한 제품입니다.",
2,12,1,더독 반려견용 치약 70g,5000,"자연 성분으로 만들어진 치약으로, 반려견의 치아와 잇몸을 건강하게 유지합니다.",g,70,D3z002,2024.7.11,"더독 반려견용 치약 70g은 반려견의 구강 건강을 위해 특별히 제작된 제품입니다. 구강 내 플라크와 치석 제거에 효과적이며, 입냄새를 줄여줍니다. 안전한 성분으로 만들어져 반려견이 삼켜도 무해합니다. 반려견이 좋아하는 맛으로 스트레스 없이 치아 관리를 할 수 있으며, 정기적으로 사용하면 반려견의 구강 건강을 유지하는 데 큰 도움이 됩니다. 칫솔과 함께 사용하여 최대의 효과를 누려보세요.",
3,16,1,동원 x 몰리스 러브투게더 고양이 습식캔 160g x 24입,26400,"고양이를 위한 고단백 습식캔, 맛과 영양이 풍부하여 건강한 식사를 제공합니다.",g,3840,C1z003,2024.7.12,"동원 x 몰리스 러브투게더 고양이 습식캔은 160g의 캔이 24개입으로 제공됩니다. 신선한 재료로 만든 습식 사료로, 고양이의 미각을 만족시킵니다. 균형 잡힌 영양과 부드러운 질감으로 고양이의 건강한 식사와 특별한 간식으로 적합합니다. 다양한 연령대의 고양이에게 적합한 제품입니다.",
4,4,1,프로발란스 관절강화 및 연골보호 전연령 2.6kg,15900,"모든 연령대의 반려견을 위한 관절과 연골 보호 사료로, 건강한 움직임을 지원합니다.",g,2600,D1z004,2024.7.13,"몰리스 프로발란스 관절강화 및 연골보호는 전 연령대의 반려견을 위한 특수 설계된 사료입니다. 이 사료는 관절 및 연골 건강을 지원하는 성분이 풍부하게 포함되어 있습니다. MSM, 글루코사민, 콘드로이틴이 함유되어 있어 관절 염증을 완화하고 연골의 재생을 돕습니다. 또한, 필수 비타민과 미네랄이 균형 잡힌 영양을 제공하여, 반려견의 전반적인 건강을 유지하는 데 기여합니다. 무첨가, 무방부제, 자연 재료를 사용하여 반려견의 건강과 맛을 동시에 고려하였습니다.",
5,2,1,프로발란스 어덜트 3kg,13700,"성견을 위한 영양 균형이 맞춰진 사료로, 건강하고 활기찬 삶을 유지하는 데 도움을 줍니다.",g,3000,D1a005,2024.7.14,"몰리스 프로발란스 어덜트 3kg으로 성견의 건강을 완벽하게 관리하세요! 이 사료는 균형 잡힌 영양 성분과 고단백 함량으로 성견의 건강을 지원하며, 소화가 잘 되는 재료로 편안한 소화를 돕습니다. 3kg의 용량으로 경제적이며, 성견의 건강을 고려한 최상의 선택입니다.",
6,2,1,프로발란스 어덜트 8kg,24500,"성견 전용 사료로, 풍부한 영양소와 맛을 제공하여 건강한 식습관을 유지합니다.",g,8000,D1a006,2024.7.15,"몰리스 프로발란스 어덜트 8kg은 성견을 위한 최적의 영양을 제공하는 프리미엄 사료입니다. 균형 잡힌 영양소와 고품질 단백질로 반려견의 건강과 활력을 증진시키며, 소화가 잘 되는 성분으로 소화기 건강을 지원합니다. 피부와 털 건강에 도움을 주는 오메가-3와 오메가-6 지방산이 함유되어 있습니다. 대형 포장으로 경제적이며, 여러 반려견을 키우는 가정에도 적합한 제품입니다.",
7,16,1,프로발란스 캣 전연령용 2kg,11600,"모든 연령대의 고양이를 위한 균형 잡힌 사료로, 전체적인 건강을 지원합니다.",g,2000,C1z007,2024.7.16,"몰리스 프로발란스 캣은 전 연령용으로 2kg의 대용량으로 제공되는 고양이 사료입니다. 다양한 연령대의 고양이에게 적합하며, 필수 영양소와 균형 잡힌 성분이 포함되어 있습니다. 건강한 식사와 영양 공급을 고려하여 만들어졌으며, 고양이의 건강을 지원하는 제품입니다.",
8,13,1,프로발란스 캣 키튼 1.5kg,11600,"성장기 고양이를 위한 영양이 풍부한 사료로, 건강한 성장을 돕습니다.",g,1500,C1j008,2024.7.17,"몰리스 프로발란스 캣 키튼 1.5kg은 성장기 고양이를 위한 특별한 사료입니다. 고단백, 저지방 설계로 성장 중인 고양이의 건강한 발달을 지원하며, 필수 아미노산과 비타민이 풍부합니다. 소화가 잘 되는 성분으로 위장에 부담을 주지 않으며, 맛있고 영양가 높은 식사로 고양이의 활력을 돕습니다. 균형 잡힌 영양이 제공되는 최적의 사료입니다.",
9,4,1,프로발란스 피부관리와 모질강화 전연령 2.6kg,15900,"피부와 털 건강을 위한 사료로, 윤기 나는 털과 건강한 피부를 유지하도록 돕습니다.",g,2600,D1z009,2024.7.18,"몰리스 프로발란스는 반려견의 피부 관리와 모질 강화를 위한 전연령 사료입니다. 오메가-3, 오메가-6 지방산이 풍부하여 반려견의 피부와 털을 건강하게 유지합니다. 2.6kg 대용량으로 경제적이며, 고품질 원료로 만들어져 소화가 잘 되고 기호성이 뛰어납니다.",
10,20,1,쉬바 참치 살코기와 통새우와 그레이비 소스 85g,2400,"참치와 통새우가 들어간 풍미 가득한 그레이비 소스, 고양이의 입맛을 사로잡는 간식입니다.",g,85,C2z010,2024.7.19,"쉬바 참치 살코기와 통새우가 함께 담긴 이 캔 사료는 85g의 소용량으로 제공됩니다. 신선한 참치와 통새우의 맛이 조화를 이루어 고양이의 입맛을 사로잡습니다. 그레이비 소스가 추가되어 더욱 풍부한 맛을 제공하며, 고양이의 간식이나 일상 식사로 적합한 제품입니다.",
11,20,1,쉬바 참치 흰 살과 도미와 그레이비 소스 85g,2400,"참치 흰 살과 도미를 조화롭게 섞은 그레이비 소스, 고양이에게 특별한 맛을 선사합니다.",g,85,C2z011,2024.7.20,"쉬바 참치 흰 살과 도미와 그레이비 소스는 고급 참치와 도미를 그레이비 소스와 함께 제공하는 고양이용 간식입니다. 85g의 용량으로 신선하게 급여할 수 있으며, 촉촉한 소스가 고양이의 입맛을 사로잡습니다. 필수 영양소가 포함되어 있어 건강 유지에 도움을 줍니다.",
12,20,1,위스카스 파우치 고등어80g,1200,"신선한 고등어로 만든 파우치, 고양이의 영양과 맛을 고려한 습식 캔입니다.",g,80,C2z012,2024.7.21,"위스카스 파우치는 고등어 맛이 가득한 고양이 간식입니다. 80g의 포장으로 신선한 고등어의 맛과 향을 고양이에게 제공합니다. 고단백 성분으로 영양가가 높으며, 고양이의 입맛을 사로잡는 맛있는 간식으로 적합합니다. 간식 시간이나 식사에 다양하게 활용할 수 있는 제품입니다.",
